0.000000    -6.173293    -6.173292    -3.206499    -3.206498    -3.142564    -3.142563    -2.333036    -2.333036    -2.112944    -2.112944    -2.028600    -2.028600    -0.564520    -0.564519     2.146233     2.146233     2.225419     2.225420     2.441761     2.441762     2.441910     2.441910
0.002211    -6.172648    -6.172645    -3.206869    -3.206868    -3.142922    -3.142921    -2.339773    -2.339771    -2.110011    -2.110005    -2.026517    -2.026512    -0.564760    -0.564759     2.146289     2.146290     2.225405     2.225406     2.439847     2.439850     2.441459     2.441461
0.004421    -6.170713    -6.170707    -3.208141    -3.208141    -3.143828    -3.143827    -2.358330    -2.358328    -2.103712    -2.103702    -2.019408    -2.019400    -0.565483    -0.565481     2.146321     2.146322     2.225507     2.225510     2.434674     2.434680     2.439571     2.439574
0.006632    -6.167491    -6.167482    -3.210788    -3.210787    -3.144797    -3.144796    -2.385345    -2.385342    -2.098932    -2.098921    -2.005748    -2.005739    -0.566698    -0.566695     2.145929     2.145931     2.226145     2.226149     2.426195     2.426204     2.436383     2.436387
0.008843    -6.162986    -6.162975    -3.215494    -3.215493    -3.145116    -3.145114    -2.417899    -2.417896    -2.098492    -2.098482    -1.985633    -1.985623    -0.568419    -0.568415     2.144520     2.144522     2.227939     2.227944     2.414518     2.414530     2.431939     2.431945
0.011054    -6.157209    -6.157196    -3.222929    -3.222928    -3.144081    -3.144078    -2.454079    -2.454077    -2.102367    -2.102357    -1.961000    -1.960991    -0.570666    -0.570663     2.141474     2.141475     2.231527     2.231534     2.399829     2.399842     2.426280     2.426286
0.013264    -6.150168    -6.150155    -3.233485    -3.233483    -3.141256    -3.141252    -2.492722    -2.492720    -2.109651    -2.109642    -1.933916    -1.933906    -0.573466    -0.573463     2.136378     2.136380     2.237304     2.237313     2.382400     2.382414     2.419454     2.419459
0.015475    -6.141880    -6.141867    -3.247206    -3.247205    -3.136542    -3.136538    -2.533116    -2.533114    -2.119623    -2.119615    -1.905809    -1.905798    -0.576851    -0.576847     2.129155     2.129156     2.245207     2.245217     2.362657     2.362670     2.411531     2.411535
0.017686    -6.132360    -6.132347    -3.263926    -3.263925    -3.130048    -3.130041    -2.574808    -2.574806    -2.131834    -2.131825    -1.877577    -1.877565    -0.580856    -0.580853     2.120001     2.120003     2.254499     2.254511     2.341427     2.341441     2.402619     2.402621
0.019897    -6.121629    -6.121618    -3.283413    -3.283411    -3.121939    -3.121929    -2.617495    -2.617493    -2.146002    -2.145992    -1.849797    -1.849784    -0.585525    -0.585523     2.109249     2.109252     2.262707     2.262720     2.321099     2.321110     2.392908     2.392908
0.022107    -6.109712    -6.109703    -3.305439    -3.305436    -3.112371    -3.112359    -2.660965    -2.660962    -2.161937    -2.161925    -1.822865    -1.822850    -0.590905    -0.590902     2.097259     2.097264     2.261356     2.261364     2.309845     2.309850     2.382799     2.382801
0.024318    -6.096636    -6.096629    -3.329803    -3.329798    -3.101474    -3.101460    -2.705055    -2.705052    -2.179495    -2.179483    -1.797071    -1.797054    -0.597045    -0.597042     2.084375     2.084382     2.242913     2.242917     2.314241     2.314244     2.373382     2.373386
0.026529    -6.082432    -6.082427    -3.356326    -3.356320    -3.089356    -3.089339    -2.749636    -2.749632    -2.198560    -2.198546    -1.772639    -1.772621    -0.604001    -0.603999     2.070900     2.070908     2.215973     2.215977     2.322355     2.322359     2.368181     2.368185
0.028740    -6.067138    -6.067133    -3.384845    -3.384839    -3.076121    -3.076103    -2.794585    -2.794581    -2.219026    -2.219011    -1.749756    -1.749735    -0.611832    -0.611829     2.057086     2.057094     2.185967     2.185972     2.321989     2.321992     2.374208     2.374211
0.030950    -6.050791    -6.050786    -3.415210    -3.415203    -3.061903    -3.061883    -2.839756    -2.839753    -2.240799    -2.240782    -1.728575    -1.728553    -0.620598    -0.620595     2.043111     2.043120     2.154606     2.154611     2.312289     2.312295     2.390918     2.390922
0.033161    -6.033435    -6.033430    -3.447273    -3.447267    -3.046944    -3.046923    -2.884897    -2.884894    -2.263785    -2.263768    -1.709229    -1.709207    -0.630362    -0.630358     2.029023     2.029032     2.122804     2.122809     2.298397     2.298404     2.412699     2.412703
0.035372    -6.015118    -6.015112    -3.480893    -3.480887    -3.031969    -3.031948    -2.929278    -2.929275    -2.287898    -2.287880    -1.691835    -1.691812    -0.641186    -0.641182     2.014601     2.014608     2.091474     2.091482     2.282537     2.282543     2.437106     2.437109
0.037583    -5.995892    -5.995886    -3.515927    -3.515922    -3.021055    -3.021035    -2.968820    -2.968817    -2.313049    -2.313031    -1.676488    -1.676465    -0.653133    -0.653130     1.999056     1.999060     2.061991     2.062002     2.265457     2.265462     2.463263     2.463264
0.039793    -5.975815    -5.975809    -3.552236    -3.552232    -3.037602    -3.037588    -2.980127    -2.980118    -2.339154    -2.339137    -1.663272    -1.663249    -0.666264    -0.666261     1.980663     1.980664     2.036598     2.036614     2.247484     2.247486     2.490760     2.490761
0.042004    -5.954950    -5.954944    -3.589677    -3.589674    -3.078844    -3.078835    -2.965966    -2.965957    -2.366130    -2.366114    -1.652250    -1.652228    -0.680636    -0.680633     1.957634     1.957635     2.017557     2.017576     2.228798     2.228799     2.519353     2.519355
0.044215    -5.933366    -5.933361    -3.628110    -3.628106    -3.124295    -3.124287    -2.946836    -2.946829    -2.393893    -2.393878    -1.643471    -1.643450    -0.696301    -0.696299     1.930481     1.930484     2.004789     2.004808     2.209530     2.209535     2.548866     2.548870
